% Model,2016_04_06_SiwHoles_dispersion.mph
% Version,COMSOL 5.1.0.180
% Date,"Apr 8 2016, 11:48"
% Dimension,3
% Nodes,1276
% Expressions,25
% Description,Velocity magnitude
% Length unit,m
% X,Y,Z,solid.vel (m/s) @ Eigenfrequency=1,solid.vel (m/s) @ Eigenfrequency=2,solid.vel (m/s) @ Eigenfrequency=3,solid.vel (m/s) @ Eigenfrequency=4,solid.vel (m/s) @ Eigenfrequency=5,solid.vel (m/s) @ Eigenfrequency=6,solid.vel (m/s) @ Eigenfrequency=7,solid.vel (m/s) @ Eigenfrequency=8,solid.vel (m/s) @ Eigenfrequency=9,solid.vel (m/s) @ Eigenfrequency=10,solid.vel (m/s) @ Eigenfrequency=11,solid.vel (m/s) @ Eigenfrequency=12,solid.vel (m/s) @ Eigenfrequency=13,solid.vel (m/s) @ Eigenfrequency=14,solid.vel (m/s) @ Eigenfrequency=15,solid.vel (m/s) @ Eigenfrequency=16,solid.vel (m/s) @ Eigenfrequency=17,solid.vel (m/s) @ Eigenfrequency=18,solid.vel (m/s) @ Eigenfrequency=19,solid.vel (m/s) @ Eigenfrequency=20,solid.vel (m/s) @ Eigenfrequency=21,solid.vel (m/s) @ Eigenfrequency=22,solid.vel (m/s) @ Eigenfrequency=23,solid.vel (m/s) @ Eigenfrequency=24,solid.vel (m/s) @ Eigenfrequency=25
0,0,2.200056026984488E-7,8.194475255154941E9,8.590663050929135E8,1.131993354319293E10,3.708709300506868E8,1.981965442649325E10,4.144686796034529E8,3.0524120296023098E10,9.387110883831228E7,5.141239940739277E10,6.515900606980613E9,1.158178465088009E9,7.980551911464604E8,5.276920261680347E10,7.937338890773063E9,7.87106145884365E7,2.017234880923897E9,3.2996356141060576E9,5.642087353233779E10,4.0309279245797914E8,3.4476490220253277E8,4.074445800985768E9,2.467242078111306E8,1.3481393388358786E9,2.241998164547821E10,8.168630140395886E10
5.815071406871609E-8,0,2.555146985694416E-7,8.106712851456243E9,8.846795662423478E8,1.1288886000074247E10,4.2938591349123085E8,1.955371486821335E10,8.552745991341417E8,3.013233659920434E10,3.1024536780273974E8,5.034408239607929E10,6.580251316266343E9,9.830624799406897E8,6.631991120700519E8,4.6144305400344406E10,4.152751386958918E9,1.6986080510965425E8,1.4817253045924456E9,3.4515628734846425E9,5.198333200602538E10,5.1479507373429686E8,5.565953349516307E8,3.8243907536397176E9,5.1945430934060293E8,1.1791314869912298E9,3.743584738046442E10,6.71960400941041E10
6.017587552877196E-8,0,1.841389044636402E-7,8.122715845491344E9,8.882193292342643E8,1.1255310970954817E10,4.286951537246104E8,1.968219207001077E10,2.228015052992467E7,3.060863327326428E10,1.125108300786127E7,4.9794145392465034E10,6.535301968651277E9,9.793175390877718E8,6.241689973938042E8,4.6333227838323784E10,1.681858765920089E9,1.4651164534301052E7,1.6086887376521132E9,3.501914279278103E9,5.200969102021656E10,2.88623285443091E8,4.08990725494156E7,3.923426246079666E9,7.108812667306922E7,4.469142803293333E8,3.0486798563898724E10,6.679646003666869E10
4.486123199323783E-8,4.941033103479579E-8,2.2034132160926034E-7,8.177136000563582E9,8.862604096572474E8,1.1261807264750948E10,4.1578484302832323E8,1.987200311140332E10,8.986909189432952E8,2.9122419703785038E10,3.2340845772771966E8,4.915106696106144E10,6.408894987786866E9,9.955742622101456E8,7.560413750309564E8,4.76314853967629E10,6.753735498457326E9,1.772856443633806E8,1.4676469800586956E9,3.4178692662069173E9,5.150044009151244E10,6.641475870476902E8,3.834382723090172E8,3.3541241728089223E9,5.814764491107482E8,7.822047276777579E8,1.902804740075086E10,6.767741500727747E10
0,0,0,8.0357784738384E9,8.459786409278463E8,1.1470276948316057E10,3.8693181307464916E8,1.898536518430262E10,2.25534583416521E9,2.6833467622104103E10,5.370087371496562E8,5.410686414389868E10,6.747395724108731E9,1.0132955746967307E9,1.0007828859936392E9,4.256982880017051E10,2.185557104304884E10,3.914401344757876E7,1.2490758110313945E9,2.7501482001458616E9,5.526175534293021E10,1.0178862364163857E9,7.904957128934717E8,3.0081569170848436E9,2.5303209982293287E8,1.613405687597739E9,5.861738208271385E10,7.572871958229152E10
0,5.105940020384768E-8,5.160197161779796E-8,8.144632112274415E9,8.568682309590703E8,1.136624379181177E10,3.8231279912559366E8,1.9556065190628334E10,1.6876881005665433E9,2.7947081373925236E10,4.2840811564012736E8,5.124620647529339E10,6.461206377691764E9,1.0735247667635987E9,9.288802437069331E8,4.767610271361138E10,1.7712113036958736E10,3.633111569887741E8,1.4830190763244975E9,2.988022657563106E9,5.300298596884272E10,9.526940065662957E8,9.665927130003587E8,3.341675288284363E9,7.935881774134082E8,1.8281498689428937E9,2.9344326629314022E10,6.966538766270155E10
0,0,7.228316252070084E-8,8.143653341268476E9,8.549182427093601E8,1.1375992565006163E10,3.767157030968607E8,1.9529405372575756E10,1.2818155080226984E9,2.9495211934436398E10,2.9566561810949796E8,5.237822936274237E10,6.599129024208571E9,1.1204846688797057E9,8.684565798743225E8,5.033210019251661E10,1.2760415948716105E10,1.338361976663736E8,1.7508943059538925E9,3.154488111893051E9,5.591241815040673E10,7.482491367484387E8,8.265806157107266E8,3.872106727534858E9,5.3498176290625054E8,1.8419460124386904E9,3.489392632583914E10,7.850450478119977E10
4.67955644442259E-8,0,5.060020946550437E-8,8.078155954300165E9,8.741107128969575E8,1.1371242193642698E10,4.248881901082665E8,1.929143419627527E10,1.6047018238019254E9,2.884599553551377E10,5.501720362782137E8,5.1826599543005615E10,6.688243364864517E9,1.0019084235383763E9,7.790448048626472E8,4.582885393559678E10,1.1357348327919683E10,2.0669907634034494E8,1.2335047800504148E9,3.248923680759277E9,5.278487958804803E10,7.90769620239209E8,8.254524644209405E8,3.5115926069193926E9,6.524567557433977E8,1.6252096391058815E9,4.862576258284226E10,6.957675703408044E10
5.0040315193223364E-8,5.473657457270803E-8,0,8.024640623596218E9,8.694702547865874E8,1.1398524229700077E10,4.3294308906097704E8,1.905241350253952E10,2.397359484711547E9,2.6456359889189518E10,8.986399138008556E8,5.133300368695541E10,6.603054694445739E9,9.546957530806955E8,9.122664394145387E8,4.129941202248845E10,2.105962357896371E10,4.925633891804437E8,7.777551560506049E8,2.737892664110272E9,4.9206820064670334E10,1.050200848823897E9,1.0518351118420295E9,3.0618476147155237E9,7.04353815088256E8,1.438408202139641E9,5.3683115875162186E10,6.091137356398272E10
0,5.666962098732338E-8,1.0773587534912861E-7,8.204902398354213E9,8.621260995096967E8,1.1303469418749945E10,3.7669640359435266E8,1.9895414354672707E10,1.204915576232742E9,2.846004767987226E10,3.071518549129669E8,4.984047925930236E10,6.333683547744467E9,1.1045072658478909E9,8.693888056374261E8,5.024530476737644E10,1.2746965443326595E10,3.3312261570619947E8,1.6804936919335556E9,3.1298346692176743E9,5.287227430083265E10,8.132379211579207E8,7.396890319438684E8,3.2638914868039784E9,7.6398099621787E8,1.4783192942396321E9,1.463226621012315E10,7.152619366157753E10
